Reference, Value, Footprint, Datasheet
IC1,ATMEGA32U4,TQFP44,
C9,1u,,
R1,22,,
R2,22,,
X1,ASX4,,
C6,22p,,
C8,22p,,
S1,DTSM-6,switch-tact-DTSM-6,
R3,10K,,
R4,10K,,
J1,USBMINI_B05,,
P1,CONN_1,,
P2,CONN_1,,
P3,CONN_1,,
P4,CONN_1,,
P5,CONN_1,,
P6,CONN_1,,
P7,CONN_1,,
P8,CONN_1,,
P9,CONN_1,,
P10,CONN_1,,
C2,100n,,
C3,100n,,
C4,100n,,
C5,100n,,
C1,1u,,
C7,5u,,
U1,MCP73831/2_LIPO_Charger,,
R7,470,,
D1,ORANGE,,
R8,1K,,
D2,GREEN,,
C10,10uF,,
R10,2K,,
U2,TPS61090RSAR,,
R9,340K,,
L1,6.8uH,,
R5,1.87M,,
R6,340K,,
C12,,1uF,,
C11,10uF,,
R11,1.87M,,
R12,200K,,
C13,2.2uF,,
C14,100uF/6V,,
D3,BLUE,,
R13,1K,,
R14,1K,,
D4,RED,,
P11,BT 1.8-5V,,
Q1,MMUN2133LT1G,,
U3,Bluefruit-EZ-Key,,
S2,MX1A,mx1a:MX1A,
S59,MX1A,mx1a:MX1A,
S4,MX1A,mx1a:MX1A,
S62,MX1A,mx1a:MX1A,
S6,MX1A,mx1a:MX1A,
S11,MX1A,mx1a:MX1A,
S16,MX1A,mx1a:MX1A,
S50,MX1A,mx1a:MX1A,
S55,MX1A,mx1a:MX1A,
S58,MX1A,mx1a:MX1A_no3d,
S63,MX1A,mx1a:MX1A_no3d,
S29,MX1A,mx1a:MX1A_no3d,
S5,MX1A,mx1a:MX1A,
S61,MX1A,mx1a:MX1A,
D5,D,,
S7,MX1A,mx1a:MX1A,
D10,D,,
S12,MX1A,mx1a:MX1A,
D15,D,,
S17,MX1A,mx1a:MX1A,
D20,D,,
S21,MX1A,mx1a:MX1A,
D24,D,,
S25,MX1A,mx1a:MX1A,
D28,D,,
S30,MX1A,mx1a:MX1A,
D33,D,,
S34,MX1A,mx1a:MX1A,
D37,D,,
S38,MX1A,mx1a:MX1A,
D41,D,,
S42,MX1A,mx1a:MX1A,
D45,D,,
S46,MX1A,mx1a:MX1A,
D49,D,,
S51,MX1A,mx1a:MX1A,
D54,D,,
S56,MX1A,mx1a:MX1A,
D59,D,,
S3,MX1A,mx1a:MX1A,
D6,D,,
S8,MX1A,mx1a:MX1A,
D11,D,,
S13,MX1A,mx1a:MX1A,
D16,D,,
S18,MX1A,mx1a:MX1A,
D21,D,,
S22,MX1A,mx1a:MX1A,
D25,D,,
S26,MX1A,mx1a:MX1A,
D29,D,,
S31,MX1A,mx1a:MX1A,
D34,D,,
S35,MX1A,mx1a:MX1A,
D38,D,,
S39,MX1A,mx1a:MX1A,
D42,D,,
S43,MX1A,mx1a:MX1A,
D46,D,,
S47,MX1A,mx1a:MX1A,
D50,D,,
S52,MX1A,mx1a:MX1A,
D55,D,,
S57,MX1A,mx1a:MX1A,
D60,D,,
S60,MX1A,mx1a:MX1A,
D63,D,,
S9,MX1A,mx1a:MX1A,
D12,D,,
S10,MX1A,mx1a:MX1A,
D13,D,,
S14,MX1A,mx1a:MX1A,
D17,D,,
S15,MX1A,mx1a:MX1A,
D18,D,,
S19,MX1A,mx1a:MX1A,
D22,D,,
S20,MX1A,mx1a:MX1A,
D23,D,,
S23,MX1A,mx1a:MX1A,
D26,D,,
S24,MX1A,mx1a:MX1A,
D27,D,,
S27,MX1A,mx1a:MX1A,
D30,D,,
S28,MX1A,mx1a:MX1A,
D31,D,,
S32,MX1A,mx1a:MX1A,
D35,D,,
S33,MX1A,mx1a:MX1A,
D36,D,,
S36,MX1A,mx1a:MX1A,
D39,D,,
S37,MX1A,mx1a:MX1A,
D40,D,,
S40,MX1A,mx1a:MX1A,
D43,D,,
S41,MX1A,mx1a:MX1A,
D44,D,,
S44,MX1A,mx1a:MX1A,
D47,D,,
S45,MX1A,mx1a:MX1A,
D48,D,,
S48,MX1A,mx1a:MX1A,
D51,D,,
S49,MX1A,mx1a:MX1A,
D52,D,,
S53,MX1A,mx1a:MX1A,
D56,D,,
S54,MX1A,mx1a:MX1A,
D57,D,,
D62,D,,
D65,D,,
D66,D,,
D61,D,,
D58,D,,
D53,D,,
D7,D,,
D9,D,,
D14,D,,
D19,D,,
D32,D,,
S67,MX1A,mx1a:MX1A,
D70,D,,
S68,MX1A,mx1a:MX1A,
D71,D,,
S73,MX1A,mx1a:MX1A,
D76,D,,
S64,MX1A,mx1a:MX1A,
D67,D,,
S65,MX1A,mx1a:MX1A,
D68,D,,
S70,MX1A,mx1a:MX1A,
D73,D,,
S66,MX1A,mx1a:MX1A,
D69,D,,
S71,MX1A,mx1a:MX1A,
D74,D,,
S72,MX1A,mx1a:MX1A,
D75,D,,
D8,D,,
S69,MX1A,mx1a:MX1A,
D72,D,,
D64,D,,
U4,WS28182B,,
U9,WS28182B,,
U14,WS28182B,,
U19,WS28182B,,
U23,WS28182B,,
U27,WS28182B,,
U32,WS28182B,,
U36,WS28182B,,
U40,WS28182B,,
U44,WS28182B,,
U48,WS28182B,,
U53,WS28182B,,
U58,WS28182B,,
U61,WS28182B,,
U66,WS28182B,,
U71,WS28182B,,
U5,WS28182B,,
U10,WS28182B,,
U15,WS28182B,,
U20,WS28182B,,
U24,WS28182B,,
U28,WS28182B,,
U33,WS28182B,,
U37,WS28182B,,
U41,WS28182B,,
U45,WS28182B,,
U49,WS28182B,,
U54,WS28182B,,
U59,WS28182B,,
U62,WS28182B,,
U67,WS28182B,,
U72,WS28182B,,
U7,WS28182B,,
U12,WS28182B,,
U17,WS28182B,,
U22,WS28182B,,
U26,WS28182B,,
U30,WS28182B,,
U35,WS28182B,,
U39,WS28182B,,
U43,WS28182B,,
U47,WS28182B,,
U51,WS28182B,,
U56,WS28182B,,
U64,WS28182B,,
U69,WS28182B,,
U74,WS28182B,,
U6,WS28182B,,
U11,WS28182B,,
U16,WS28182B,,
U21,WS28182B,,
U25,WS28182B,,
U29,WS28182B,,
U34,WS28182B,,
U38,WS28182B,,
U42,WS28182B,,
U46,WS28182B,,
U50,WS28182B,,
U55,WS28182B,,
U63,WS28182B,,
U68,WS28182B,,
U73,WS28182B,,
U8,WS28182B,,
U13,WS28182B,,
U18,WS28182B,,
U31,WS28182B,,
U52,WS28182B,,
U57,WS28182B,,
U60,WS28182B,,
U65,WS28182B,,
U70,WS28182B,,
U75,WS28182B,,
U76,WS28182B,,
U77,WS28182B,,
U79,WS28182B,,
U80,WS28182B,,
U81,WS28182B,,
U82,WS28182B,,
U83,WS28182B,,
U84,WS28182B,,
U86,WS28182B,,
U87,WS28182B,,
U85,WS28182B,,
U78,WS28182B,,
